"title","price_norm","host","link"
"Auto Malawi x Northern Lights Feminizada","5,4","aceseeds.org","https://www.aceseeds.org/semillas/auto-malawi-nl-semillas-feminizadas/"
"Marruecos Beldia Kif Feminizada","6,6","aceseeds.org","https://www.aceseeds.org/semillas/marruecos-beldia-kif-semillas-feminizadas/"
"Kali China Feminizada","9","aceseeds.org","https://www.aceseeds.org/semillas/kali-china-semillas-feminizadas/"
"Haze X Kali China Feminizada","9","aceseeds.org","https://www.aceseeds.org/semillas/hazexkalichina-semillas-feminizadas/"
"Oaxaca A5 Haze feminizada","9","aceseeds.org","https://www.aceseeds.org/semillas/oaxaca-x-a5-haze-semillas-feminizadas/"
"Red Poison Auto","17,5","blimburnseeds.com","https://blimburnseeds.com/red-poison-auto/"
"Lemon Tree x Channel Kush","17,5","blimburnseeds.com","https://blimburnseeds.com/lemon-tree-x-channel-kush/"
"Gorilla Punch Auto","17,5","blimburnseeds.com","https://blimburnseeds.com/gorilla-punch-auto/"
"Red Strawberry Banana Auto","17,5","blimburnseeds.com","https://blimburnseeds.com/red-strawberry-banana-auto/"
"Gelato X Purple Punch Auto","17,5","blimburnseeds.com","https://blimburnseeds.com/gelato-x-purple-punch-auto/"
"AUTO SPECIAL SKUNK","17,5","bulkseedbank.org","https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-special-skunk-2/"
"AUTO SUNMANGO","17,5","bulkseedbank.org","https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-sunmango-2/"
"AUTO TROPICAL COCONUT","17,5","bulkseedbank.org","https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-tropical-coconut-2/"
"AUTO WHITE PRUSSIAN","17,5","bulkseedbank.org","https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-white-prussian-2/"
"AUTO WHITE WIDOW","17,5","bulkseedbank.org","https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-white-widow-2/"
"Gelato Sorbet Fem Cannabis Seeds","45","dnagenetics.com","https://dnagenetics.com/product/gelato-sorbet/"
"You Whoo Fem Cannabis Seeds","45","dnagenetics.com","https://dnagenetics.com/product/you-whoo-fem/"
"White Chocolope Fem Cannabis Seeds","45","dnagenetics.com","https://dnagenetics.com/product/white-chocolope/"
"Strawberry Sorbet Fem Cannabis Seeds","45","dnagenetics.com","https://dnagenetics.com/product/strawberry-sorbet/"
"Skywalker Kush Auto Cannabis Seeds","45","dnagenetics.com","https://dnagenetics.com/product/skywalker-kush-auto/"
"semillas de marihuana","9","genehtik.com","https://www.genehtik.com/producto/semillas-de-marihuana/"
"Amnesia Bilbo Auto","9","genehtik.com","https://www.genehtik.com/producto/amnesia-bilbo-auto/"
"Kritikal Bilbo Auto","9","genehtik.com","https://www.genehtik.com/producto/kritikal-bilbo-auto/"
"Txerri Bilbo Haze","9","genehtik.com","https://www.genehtik.com/producto/txerri-bilbo-haze/"
"semillas de marihuana autoflorecientes","9","genehtik.com","https://www.genehtik.com/producto/semillas-de-marihuana-autoflorecientes/"
"BANDIT KUSH","60","hyp3rids.com","https://hyp3rids.com/product/bandit-kush"
"BOUILLON HAZE","60","hyp3rids.com","https://hyp3rids.com/product/bouillon-haze"
"CUBAN BLOOD HAZE &#8216;EL SQUATO&#8217; PHENO","60","hyp3rids.com","https://hyp3rids.com/product/cuban-blood-haze-el-squato-pheno"
"CBH &#8216;PURE HAZE&#8217;","60","hyp3rids.com","https://hyp3rids.com/product/cuban-blood-haze-pure-haze-pheno"
"LAVA HAZE","60","hyp3rids.com","https://hyp3rids.com/product/lava-haze-hunter-pack"
"Afghani Special Regular®","9,5","kcbrains.com","https://kcbrains.com/shop/cannabis-seeds/regular-seeds/afghani-special-regular/"
"Bahia Black Head Regular®","9,5","kcbrains.com","https://kcbrains.com/shop/cannabis-seeds/regular-seeds/bahia-black-head-regular/"
"Haze Special®","9,5","kcbrains.com","https://kcbrains.com/shop/cannabis-seeds/regular-seeds/haze-special/"
"Brains Damage Wedding Cake Feminized","24,5","kcbrains.com","https://kcbrains.com/shop/cannabis-seeds/feminized-seeds/brains-damage-wed-cake-feminized/"
"Brasil x K.C.® Feminized","24,5","kcbrains.com","https://kcbrains.com/shop/cannabis-seeds/feminized-seeds/brasil-x-kc-feminized/"
"Lemon Ultra Haze","7","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/autoflorecientes/lemon-ultra-haze/"
"MIX Feminizadas","12","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/fotodependientes/mix-feminizadas/"
"BONGI HAZE X WEDDING CAKE","25","northcoastgenetics.com","https://northcoastgenetics.com/product/bongi-haze-x-wedding-cake"
"Killer Glue Haze","40","northcoastgenetics.com","https://northcoastgenetics.com/product/killer-glue-haze"
"1980&#8217;s Humboldt Seeds Preservation New York Sour Diesel","50","northcoastgenetics.com","https://northcoastgenetics.com/product/1980s-humboldt-seeds-preservation-new-york-sour-deisel"
"Feminized Road Kill Skunk","50","northcoastgenetics.com","https://northcoastgenetics.com/product/feminized-road-kill-skunk"
"MOLOKAI MOUNTAIN KUSH","50","northcoastgenetics.com","https://northcoastgenetics.com/product/molokai-mountain-kush"
"Haze #1 Regular Cannabis Seeds","9,9","spliffseeds.nl","https://www.spliffseeds.nl/product/haze-regular-cannabis-seeds/"
"White Widow Regular Cannabis Seeds","17,5","spliffseeds.nl","https://www.spliffseeds.nl/product/white-widow-regular-cannabis-seeds/"
"AK Regular Cannabis Seeds","17,5","spliffseeds.nl","https://www.spliffseeds.nl/product/ak-regular-cannabis-seeds/"
"Blue Berry Regular Cannabis Seeds","17,5","spliffseeds.nl","https://www.spliffseeds.nl/product/blue-berry-regular-cannabis-seeds/"
"Bubblegun Regular Cannabis Seeds","17,5","spliffseeds.nl","https://www.spliffseeds.nl/product/bubblegun-regular-cannabis-seeds/"
"TB Lemon Haze Auto","20","thebulldogseeds.com","https://thebulldogseeds.com/product/tb-lemon-haze-auto/"
"TB Kush","25","thebulldogseeds.com","https://thebulldogseeds.com/product/tb-kush/"
"TB Gelato Auto","27","thebulldogseeds.com","https://thebulldogseeds.com/product/tb-gelato-auto/"
"TB Skittlez Auto","27","thebulldogseeds.com","https://thebulldogseeds.com/product/tb-skittlez-auto/"
"(Auto) White Widow","17,5","visionseeds.nl","https://www.visionseeds.nl/product/auto-white-widow/"
"(Auto) Northern Lights","17,5","visionseeds.nl","https://www.visionseeds.nl/product/auto-northern-lights/"
"(Auto) Lowryder","17,5","visionseeds.nl","https://www.visionseeds.nl/product/auto-lowryder/"
"(Auto) Blueberry Bliss","17,5","visionseeds.nl","https://www.visionseeds.nl/product/auto-blueberry-bliss/"
"(Auto) Biscotti","17,5","visionseeds.nl","https://www.visionseeds.nl/product/auto-biscotti/"
